,person_id,age,sex,household_id,workplace_id,district_id,economic_status,economic_activity_location_id,school_goers,manufacturing_workers
79,79,19,female,902000,district_2_Current Students_1,2,Current Students,1.0,1,0.0
80,80,57,female,6668000,district_1_Service workers_3,1,Service workers,1.0,0,0.0
81,81,27,female,1146000,district_1_Office workers_1,1,Office workers,1.0,0,0.0
82,82,40,male,2300000,district_2_Office workers_3,2,Office workers,1.0,0,0.0
83,83,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
84,84,41,female,3465000,district_1_Teachers_3,1,Teachers,1.0,1,0.0
85,85,15,female,882000,"district_2_Not working, inactive, not in universe_4",2,"Not working, inactive, not in universe",1.0,0,0.0
86,86,23,female,2524000,district_1_Homemakers/Housework_2,1,Homemakers/Housework,1.0,0,0.0
87,87,16,female,4751000,district_1_Current Students_5,1,Current Students,1.0,1,0.0
88,88,19,female,902000,district_2_Current Students_5,2,Current Students,1.0,1,0.0
89,89,57,female,6668000,district_1_Service workers_1,1,Service workers,1.0,0,0.0
90,90,27,female,1146000,district_1_Office workers_3,1,Office workers,1.0,0,0.0
91,91,40,male,2300000,district_2_Office workers_5,2,Office workers,1.0,0,0.0
92,92,20,male,4198000,"district_1_Not working, inactive, not in universe_2",1,"Not working, inactive, not in universe",1.0,0,0.0
93,93,41,female,3465000,district_1_Teachers_1,1,Teachers,1.0,1,0.0
94,94,15,female,882000,"district_2_Not working, inactive, not in universe_5",2,"Not working, inactive, not in universe",1.0,0,0.0
95,95,23,female,2524000,district_1_Homemakers/Housework_3,1,Homemakers/Housework,1.0,0,0.0
96,96,16,female,4751000,district_1_Current Students_4,1,Current Students,1.0,1,0.0
97,97,19,female,902000,district_2_Current Students_5,2,Current Students,1.0,1,0.0
98,98,57,female,6668000,district_1_Service workers_3,1,Service workers,1.0,0,0.0
99,99,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
100,100,40,male,2300000,district_2_Office workers_4,2,Office workers,1.0,0,0.0
101,101,20,male,4198000,"district_1_Not working, inactive, not in universe_4",1,"Not working, inactive, not in universe",1.0,0,0.0
102,102,41,female,3465000,district_1_Teachers_3,1,Teachers,1.0,1,0.0
103,103,15,female,882000,"district_2_Not working, inactive, not in universe_5",2,"Not working, inactive, not in universe",1.0,0,0.0
104,104,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
105,105,16,female,4751000,district_1_Current Students_4,1,Current Students,1.0,1,0.0
106,106,19,female,902000,district_2_Current Students_2,2,Current Students,1.0,1,0.0
107,107,57,female,6668000,district_1_Service workers_3,1,Service workers,1.0,0,0.0
108,108,27,female,1146000,district_1_Office workers_3,1,Office workers,1.0,0,0.0
109,109,40,male,2300000,district_2_Office workers_3,2,Office workers,1.0,0,0.0
110,110,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
111,111,41,female,3465000,district_1_Teachers_5,1,Teachers,1.0,1,0.0
112,112,15,female,882000,"district_2_Not working, inactive, not in universe_2",2,"Not working, inactive, not in universe",1.0,0,0.0
113,113,23,female,2524000,district_1_Homemakers/Housework_2,1,Homemakers/Housework,1.0,0,0.0
114,114,16,female,4751000,district_1_Current Students_1,1,Current Students,1.0,1,0.0
115,115,19,female,902000,district_2_Current Students_2,2,Current Students,1.0,1,0.0
116,116,57,female,6668000,district_1_Service workers_5,1,Service workers,1.0,0,0.0
117,117,27,female,1146000,district_1_Office workers_4,1,Office workers,1.0,0,0.0
118,118,40,male,2300000,district_2_Office workers_3,2,Office workers,1.0,0,0.0
119,119,20,male,4198000,"district_1_Not working, inactive, not in universe_1",1,"Not working, inactive, not in universe",1.0,0,0.0
120,120,41,female,3465000,district_1_Teachers_3,1,Teachers,1.0,1,0.0
121,121,15,female,882000,"district_2_Not working, inactive, not in universe_5",2,"Not working, inactive, not in universe",1.0,0,0.0
122,122,23,female,2524000,district_1_Homemakers/Housework_5,1,Homemakers/Housework,1.0,0,0.0
123,123,16,female,4751000,district_1_Current Students_4,1,Current Students,1.0,1,0.0
124,124,19,female,902000,district_2_Current Students_1,2,Current Students,1.0,1,0.0
125,125,57,female,6668000,district_1_Service workers_3,1,Service workers,1.0,0,0.0
126,126,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
127,127,40,male,2300000,district_2_Office workers_4,2,Office workers,1.0,0,0.0
128,128,20,male,4198000,"district_1_Not working, inactive, not in universe_5",1,"Not working, inactive, not in universe",1.0,0,0.0
129,129,41,female,3465000,district_1_Teachers_1,1,Teachers,1.0,1,0.0
130,130,15,female,882000,"district_2_Not working, inactive, not in universe_1",2,"Not working, inactive, not in universe",1.0,0,0.0
131,131,23,female,2524000,district_1_Homemakers/Housework_1,1,Homemakers/Housework,1.0,0,0.0
132,132,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
133,133,19,female,902000,district_2_Current Students_1,2,Current Students,1.0,1,0.0
134,134,57,female,6668000,district_1_Service workers_5,1,Service workers,1.0,0,0.0
135,135,27,female,1146000,district_1_Office workers_4,1,Office workers,1.0,0,0.0
136,136,40,male,2300000,district_2_Office workers_1,2,Office workers,1.0,0,0.0
137,137,20,male,4198000,"district_1_Not working, inactive, not in universe_2",1,"Not working, inactive, not in universe",1.0,0,0.0
138,138,41,female,3465000,district_1_Teachers_3,1,Teachers,1.0,1,0.0
139,139,15,female,882000,"district_2_Not working, inactive, not in universe_1",2,"Not working, inactive, not in universe",1.0,0,0.0
140,140,23,female,2524000,district_1_Homemakers/Housework_3,1,Homemakers/Housework,1.0,0,0.0
141,141,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
142,142,19,female,902000,district_2_Current Students_4,2,Current Students,1.0,1,0.0
143,143,57,female,6668000,district_1_Service workers_1,1,Service workers,1.0,0,0.0
144,144,27,female,1146000,district_1_Office workers_2,1,Office workers,1.0,0,0.0
145,145,40,male,2300000,district_2_Office workers_2,2,Office workers,1.0,0,0.0
146,146,20,male,4198000,"district_1_Not working, inactive, not in universe_5",1,"Not working, inactive, not in universe",1.0,0,0.0
147,147,41,female,3465000,district_1_Teachers_4,1,Teachers,1.0,1,0.0
148,148,15,female,882000,"district_2_Not working, inactive, not in universe_1",2,"Not working, inactive, not in universe",1.0,0,0.0
149,149,23,female,2524000,district_1_Homemakers/Housework_2,1,Homemakers/Housework,1.0,0,0.0
150,150,16,female,4751000,district_1_Current Students_1,1,Current Students,1.0,1,0.0
151,151,19,female,902000,district_2_Current Students_4,2,Current Students,1.0,1,0.0
152,152,57,female,6668000,district_1_Service workers_4,1,Service workers,1.0,0,0.0
153,153,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
154,154,40,male,2300000,district_2_Office workers_2,2,Office workers,1.0,0,0.0
155,155,20,male,4198000,"district_1_Not working, inactive, not in universe_4",1,"Not working, inactive, not in universe",1.0,0,0.0
156,156,41,female,3465000,district_1_Teachers_2,1,Teachers,1.0,1,0.0
157,157,15,female,882000,"district_2_Not working, inactive, not in universe_2",2,"Not working, inactive, not in universe",1.0,0,0.0
158,158,23,female,2524000,district_1_Homemakers/Housework_5,1,Homemakers/Housework,1.0,0,0.0
159,159,16,female,4751000,district_1_Current Students_1,1,Current Students,1.0,1,0.0
160,160,19,female,902000,district_2_Current Students_2,2,Current Students,1.0,1,0.0
161,161,57,female,6668000,district_1_Service workers_4,1,Service workers,1.0,0,0.0
162,162,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
163,163,40,male,2300000,district_2_Office workers_2,2,Office workers,1.0,0,0.0
164,164,20,male,4198000,"district_1_Not working, inactive, not in universe_4",1,"Not working, inactive, not in universe",1.0,0,0.0
165,165,41,female,3465000,district_1_Teachers_1,1,Teachers,1.0,1,0.0
166,166,15,female,882000,"district_2_Not working, inactive, not in universe_5",2,"Not working, inactive, not in universe",1.0,0,0.0
167,167,23,female,2524000,district_1_Homemakers/Housework_2,1,Homemakers/Housework,1.0,0,0.0
168,168,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
169,169,19,female,902000,district_2_Current Students_5,2,Current Students,1.0,1,0.0
170,170,57,female,6668000,district_1_Service workers_1,1,Service workers,1.0,0,0.0
171,171,27,female,1146000,district_1_Office workers_2,1,Office workers,1.0,0,0.0
172,172,40,male,2300000,district_2_Office workers_3,2,Office workers,1.0,0,0.0
173,173,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
174,174,41,female,3465000,district_1_Teachers_2,1,Teachers,1.0,1,0.0
175,175,15,female,882000,"district_2_Not working, inactive, not in universe_5",2,"Not working, inactive, not in universe",1.0,0,0.0
176,176,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
177,177,16,female,4751000,district_1_Current Students_2,1,Current Students,1.0,1,0.0
178,178,19,female,902000,district_2_Current Students_3,2,Current Students,1.0,1,0.0
179,179,57,female,6668000,district_1_Service workers_1,1,Service workers,1.0,0,0.0
180,180,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
181,181,40,male,2300000,district_2_Office workers_2,2,Office workers,1.0,0,0.0
182,182,20,male,4198000,"district_1_Not working, inactive, not in universe_4",1,"Not working, inactive, not in universe",1.0,0,0.0
183,183,41,female,3465000,district_1_Teachers_4,1,Teachers,1.0,1,0.0
184,184,15,female,882000,"district_2_Not working, inactive, not in universe_2",2,"Not working, inactive, not in universe",1.0,0,0.0
185,185,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
186,186,16,female,4751000,district_1_Current Students_1,1,Current Students,1.0,1,0.0
187,187,19,female,902000,district_2_Current Students_1,2,Current Students,1.0,1,0.0
188,188,57,female,6668000,district_1_Service workers_3,1,Service workers,1.0,0,0.0
189,189,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
190,190,40,male,2300000,district_2_Office workers_5,2,Office workers,1.0,0,0.0
191,191,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
192,192,41,female,3465000,district_1_Teachers_2,1,Teachers,1.0,1,0.0
193,193,15,female,882000,"district_2_Not working, inactive, not in universe_3",2,"Not working, inactive, not in universe",1.0,0,0.0
194,194,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
195,195,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
196,196,19,female,902000,district_2_Current Students_3,2,Current Students,1.0,1,0.0
197,197,57,female,6668000,district_1_Service workers_5,1,Service workers,1.0,0,0.0
198,198,27,female,1146000,district_1_Office workers_3,1,Office workers,1.0,0,0.0
199,199,40,male,2300000,district_2_Office workers_4,2,Office workers,1.0,0,0.0
200,200,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
201,201,41,female,3465000,district_1_Teachers_1,1,Teachers,1.0,1,0.0
202,202,15,female,882000,"district_2_Not working, inactive, not in universe_5",2,"Not working, inactive, not in universe",1.0,0,0.0
203,203,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
204,204,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
205,205,19,female,902000,district_2_Current Students_2,2,Current Students,1.0,1,0.0
206,206,57,female,6668000,district_1_Service workers_1,1,Service workers,1.0,0,0.0
207,207,27,female,1146000,district_1_Office workers_4,1,Office workers,1.0,0,0.0
208,208,40,male,2300000,district_2_Office workers_2,2,Office workers,1.0,0,0.0
209,209,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
210,210,41,female,3465000,district_1_Teachers_1,1,Teachers,1.0,1,0.0
211,211,15,female,882000,"district_2_Not working, inactive, not in universe_1",2,"Not working, inactive, not in universe",1.0,0,0.0
212,212,23,female,2524000,district_1_Homemakers/Housework_5,1,Homemakers/Housework,1.0,0,0.0
213,213,16,female,4751000,district_1_Current Students_1,1,Current Students,1.0,1,0.0
214,214,19,female,902000,district_2_Current Students_1,2,Current Students,1.0,1,0.0
215,215,57,female,6668000,district_1_Service workers_1,1,Service workers,1.0,0,0.0
216,216,27,female,1146000,district_1_Office workers_3,1,Office workers,1.0,0,0.0
217,217,40,male,2300000,district_2_Office workers_4,2,Office workers,1.0,0,0.0
218,218,20,male,4198000,"district_1_Not working, inactive, not in universe_1",1,"Not working, inactive, not in universe",1.0,0,0.0
219,219,41,female,3465000,district_1_Teachers_1,1,Teachers,1.0,1,0.0
220,220,15,female,882000,"district_2_Not working, inactive, not in universe_1",2,"Not working, inactive, not in universe",1.0,0,0.0
221,221,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
222,222,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
223,223,19,female,902000,district_2_Current Students_3,2,Current Students,1.0,1,0.0
224,224,57,female,6668000,district_1_Service workers_2,1,Service workers,1.0,0,0.0
225,225,27,female,1146000,district_1_Office workers_1,1,Office workers,1.0,0,0.0
226,226,40,male,2300000,district_2_Office workers_3,2,Office workers,1.0,0,0.0
227,227,20,male,4198000,"district_1_Not working, inactive, not in universe_2",1,"Not working, inactive, not in universe",1.0,0,0.0
228,228,41,female,3465000,district_1_Teachers_3,1,Teachers,1.0,1,0.0
229,229,15,female,882000,"district_2_Not working, inactive, not in universe_2",2,"Not working, inactive, not in universe",1.0,0,0.0
230,230,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
231,231,16,female,4751000,district_1_Current Students_2,1,Current Students,1.0,1,0.0
232,232,19,female,902000,district_2_Current Students_2,2,Current Students,1.0,1,0.0
233,233,57,female,6668000,district_1_Service workers_4,1,Service workers,1.0,0,0.0
234,234,27,female,1146000,district_1_Office workers_1,1,Office workers,1.0,0,0.0
235,235,40,male,2300000,district_2_Office workers_2,2,Office workers,1.0,0,0.0
236,236,20,male,4198000,"district_1_Not working, inactive, not in universe_1",1,"Not working, inactive, not in universe",1.0,0,0.0
237,237,41,female,3465000,district_1_Teachers_1,1,Teachers,1.0,1,0.0
238,238,15,female,882000,"district_2_Not working, inactive, not in universe_4",2,"Not working, inactive, not in universe",1.0,0,0.0
239,239,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
240,240,16,female,4751000,district_1_Current Students_2,1,Current Students,1.0,1,0.0
241,241,19,female,902000,district_2_Current Students_5,2,Current Students,1.0,1,0.0
242,242,57,female,6668000,district_1_Service workers_2,1,Service workers,1.0,0,0.0
243,243,27,female,1146000,district_1_Office workers_3,1,Office workers,1.0,0,0.0
244,244,40,male,2300000,district_2_Office workers_3,2,Office workers,1.0,0,0.0
245,245,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
246,246,41,female,3465000,district_1_Teachers_5,1,Teachers,1.0,1,0.0
247,247,15,female,882000,"district_2_Not working, inactive, not in universe_5",2,"Not working, inactive, not in universe",1.0,0,0.0
248,248,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
249,249,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
250,250,19,female,902000,district_2_Current Students_5,2,Current Students,1.0,1,0.0
251,251,57,female,6668000,district_1_Service workers_3,1,Service workers,1.0,0,0.0
252,252,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
253,253,40,male,2300000,district_2_Office workers_2,2,Office workers,1.0,0,0.0
254,254,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
255,255,41,female,3465000,district_1_Teachers_4,1,Teachers,1.0,1,0.0
256,256,15,female,882000,"district_2_Not working, inactive, not in universe_4",2,"Not working, inactive, not in universe",1.0,0,0.0
257,257,23,female,2524000,district_1_Homemakers/Housework_1,1,Homemakers/Housework,1.0,0,0.0
258,258,16,female,4751000,district_1_Current Students_4,1,Current Students,1.0,1,0.0
259,259,19,female,902000,district_2_Current Students_2,2,Current Students,1.0,1,0.0
260,260,57,female,6668000,district_1_Service workers_1,1,Service workers,1.0,0,0.0
261,261,27,female,1146000,district_1_Office workers_1,1,Office workers,1.0,0,0.0
262,262,40,male,2300000,district_2_Office workers_1,2,Office workers,1.0,0,0.0
263,263,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
264,264,41,female,3465000,district_1_Teachers_4,1,Teachers,1.0,1,0.0
265,265,15,female,882000,"district_2_Not working, inactive, not in universe_4",2,"Not working, inactive, not in universe",1.0,0,0.0
266,266,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
267,267,16,female,4751000,district_1_Current Students_5,1,Current Students,1.0,1,0.0
268,268,19,female,902000,district_2_Current Students_2,2,Current Students,1.0,1,0.0
269,269,57,female,6668000,district_1_Service workers_2,1,Service workers,1.0,0,0.0
270,270,27,female,1146000,district_1_Office workers_2,1,Office workers,1.0,0,0.0
271,271,40,male,2300000,district_2_Office workers_3,2,Office workers,1.0,0,0.0
272,272,20,male,4198000,"district_1_Not working, inactive, not in universe_4",1,"Not working, inactive, not in universe",1.0,0,0.0
273,273,41,female,3465000,district_1_Teachers_4,1,Teachers,1.0,1,0.0
274,274,15,female,882000,"district_2_Not working, inactive, not in universe_3",2,"Not working, inactive, not in universe",1.0,0,0.0
275,275,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
276,276,16,female,4751000,district_1_Current Students_2,1,Current Students,1.0,1,0.0
277,277,19,female,902000,district_2_Current Students_4,2,Current Students,1.0,1,0.0
278,278,57,female,6668000,district_1_Service workers_3,1,Service workers,1.0,0,0.0
279,279,27,female,1146000,district_1_Office workers_3,1,Office workers,1.0,0,0.0
280,280,40,male,2300000,district_2_Office workers_1,2,Office workers,1.0,0,0.0
281,281,20,male,4198000,"district_1_Not working, inactive, not in universe_2",1,"Not working, inactive, not in universe",1.0,0,0.0
282,282,41,female,3465000,district_1_Teachers_2,1,Teachers,1.0,1,0.0
283,283,15,female,882000,"district_2_Not working, inactive, not in universe_2",2,"Not working, inactive, not in universe",1.0,0,0.0
284,284,23,female,2524000,district_1_Homemakers/Housework_1,1,Homemakers/Housework,1.0,0,0.0
285,285,16,female,4751000,district_1_Current Students_4,1,Current Students,1.0,1,0.0
286,286,19,female,902000,district_2_Current Students_1,2,Current Students,1.0,1,0.0
287,287,57,female,6668000,district_1_Service workers_4,1,Service workers,1.0,0,0.0
288,288,27,female,1146000,district_1_Office workers_1,1,Office workers,1.0,0,0.0
289,289,40,male,2300000,district_2_Office workers_5,2,Office workers,1.0,0,0.0
290,290,20,male,4198000,"district_1_Not working, inactive, not in universe_2",1,"Not working, inactive, not in universe",1.0,0,0.0
291,291,41,female,3465000,district_1_Teachers_1,1,Teachers,1.0,1,0.0
292,292,15,female,882000,"district_2_Not working, inactive, not in universe_2",2,"Not working, inactive, not in universe",1.0,0,0.0
293,293,23,female,2524000,district_1_Homemakers/Housework_2,1,Homemakers/Housework,1.0,0,0.0
294,294,16,female,4751000,district_1_Current Students_4,1,Current Students,1.0,1,0.0
295,295,19,female,902000,district_2_Current Students_3,2,Current Students,1.0,1,0.0
296,296,57,female,6668000,district_1_Service workers_5,1,Service workers,1.0,0,0.0
297,297,27,female,1146000,district_1_Office workers_4,1,Office workers,1.0,0,0.0
298,298,40,male,2300000,district_2_Office workers_4,2,Office workers,1.0,0,0.0
299,299,20,male,4198000,"district_1_Not working, inactive, not in universe_2",1,"Not working, inactive, not in universe",1.0,0,0.0
300,300,41,female,3465000,district_1_Teachers_5,1,Teachers,1.0,1,0.0
301,301,15,female,882000,"district_2_Not working, inactive, not in universe_4",2,"Not working, inactive, not in universe",1.0,0,0.0
302,302,23,female,2524000,district_1_Homemakers/Housework_5,1,Homemakers/Housework,1.0,0,0.0
303,303,16,female,4751000,district_1_Current Students_4,1,Current Students,1.0,1,0.0
304,304,19,female,902000,district_2_Current Students_2,2,Current Students,1.0,1,0.0
305,305,57,female,6668000,district_1_Service workers_2,1,Service workers,1.0,0,0.0
306,306,27,female,1146000,district_1_Office workers_3,1,Office workers,1.0,0,0.0
307,307,40,male,2300000,district_2_Office workers_3,2,Office workers,1.0,0,0.0
308,308,20,male,4198000,"district_1_Not working, inactive, not in universe_2",1,"Not working, inactive, not in universe",1.0,0,0.0
